"resource_name","filename","extension","relative_path","full_path","size_bytes","modified","filename_hit","content_hits"
"[builders]","yarn_cli.js","js","[system]\[builders]\yarn\yarn_cli.js","H:\games\pc\RedMServer\server-data\resources\[system]\[builders]\yarn\yarn_cli.js","5097418","2026-07-06 21:46:38","False","1137"
"[examples]","server.lua","lua","[gameplay]\[examples]\money\server.lua","H:\games\pc\RedMServer\server-data\resources\[gameplay]\[examples]\money\server.lua","3037","2026-07-06 21:46:38","False","17"
"[examples]","client.lua","lua","[gameplay]\[examples]\money-fountain\client.lua","H:\games\pc\RedMServer\server-data\resources\[gameplay]\[examples]\money-fountain\client.lua","4515","2026-07-06 21:46:38","False","4"
"[examples]","mapdata.lua","lua","[gameplay]\[examples]\money-fountain\mapdata.lua","H:\games\pc\RedMServer\server-data\resources\[gameplay]\[examples]\money-fountain\mapdata.lua","713","2026-07-06 21:46:38","False","2"
"[examples]","server.lua","lua","[gameplay]\[examples]\money-fountain\server.lua","H:\games\pc\RedMServer\server-data\resources\[gameplay]\[examples]\money-fountain\server.lua","3317","2026-07-06 21:46:38","False","6"
"[examples]","map.lua","lua","[gameplay]\[examples]\money-fountain-example-map\map.lua","H:\games\pc\RedMServer\server-data\resources\[gameplay]\[examples]\money-fountain-example-map\map.lua","88","2026-07-06 21:46:38","False","1"
"chat-theme-gtao","shadow.js","js","[gameplay]\chat-theme-gtao\shadow.js","H:\games\pc\RedMServer\server-data\resources\[gameplay]\chat-theme-gtao\shadow.js","3199","2026-07-06 21:46:38","False","2"
"hardcap","fxmanifest.lua","lua","[system]\hardcap\fxmanifest.lua","H:\games\pc\RedMServer\server-data\resources\[system]\hardcap\fxmanifest.lua","593","2026-07-06 21:46:38","False","1"
"loadingscreen","jquery.min.js","js","[standalone]\loadingscreen\html\assets\js\jquery.min.js","H:\games\pc\RedMServer\server-data\resources\[standalone]\loadingscreen\html\assets\js\jquery.min.js","87533","2026-07-06 21:47:44","False","1"
"lockpick","client.lua","lua","[standalone]\lockpick\client.lua","H:\games\pc\RedMServer\server-data\resources\[standalone]\lockpick\client.lua","635","2026-07-06 21:47:42","False","2"
"mapmanager","mapmanager_shared.lua","lua","[managers]\mapmanager\mapmanager_shared.lua","H:\games\pc\RedMServer\server-data\resources\[managers]\mapmanager\mapmanager_shared.lua","2225","2026-07-06 21:46:38","False","2"
"moonshine_interiors","client.lua","lua","[standalone]\moonshine_interiors\client.lua","H:\games\pc\RedMServer\server-data\resources\[standalone]\moonshine_interiors\client.lua","5025","2026-07-06 21:47:40","False","1"
"oxmysql","build.js","js","[standalone]\oxmysql\dist\build.js","H:\games\pc\RedMServer\server-data\resources\[standalone]\oxmysql\dist\build.js","1674226","2026-07-06 21:47:36","False","153"
"oxmysql","MySQL.lua","lua","[standalone]\oxmysql\lib\MySQL.lua","H:\games\pc\RedMServer\server-data\resources\[standalone]\oxmysql\lib\MySQL.lua","3683","2026-07-06 21:47:36","False","2"
"oxmysql","index-856dcf43.js","js","[standalone]\oxmysql\web\build\assets\index-856dcf43.js","H:\games\pc\RedMServer\server-data\resources\[standalone]\oxmysql\web\build\assets\index-856dcf43.js","283940","2026-07-06 21:47:36","False","1"
"player-data","server.lua","lua","[gameplay]\player-data\server.lua","H:\games\pc\RedMServer\server-data\resources\[gameplay]\player-data\server.lua","6176","2026-07-06 21:46:38","False","2"
"PolyZone","utils.lua","lua","[standalone]\PolyZone\creation\client\utils.lua","H:\games\pc\RedMServer\server-data\resources\[standalone]\PolyZone\creation\client\utils.lua","2653","2026-07-06 21:47:42","False","1"
"rdr2pf_character-progress","config.lua","lua","[local]\rdr2pf_character-progress\backup-20260723-163245\config.lua","H:\games\pc\RedMServer\server-data\resources\[local]\rdr2pf_character-progress\backup-20260723-163245\config.lua","2042","2026-07-23 13:15:38","False","2"
"rdr2pf_character-progress","server.lua","lua","[local]\rdr2pf_character-progress\backup-20260723-163245\server.lua","H:\games\pc\RedMServer\server-data\resources\[local]\rdr2pf_character-progress\backup-20260723-163245\server.lua","10096","2026-07-23 13:15:38","False","16"
"rdr2pf_character-progress","config.lua","lua","[local]\rdr2pf_character-progress\config.lua","H:\games\pc\RedMServer\server-data\resources\[local]\rdr2pf_character-progress\config.lua","3329","2026-07-26 09:33:14","False","5"
"rdr2pf_character-progress","server.lua","lua","[local]\rdr2pf_character-progress\server.lua","H:\games\pc\RedMServer\server-data\resources\[local]\rdr2pf_character-progress\server.lua","21129","2026-07-26 09:14:18","False","27"
"rdr2pf_cinematic","app.js","js","[local]\rdr2pf_cinematic\html\app.js","H:\games\pc\RedMServer\server-data\resources\[local]\rdr2pf_cinematic\html\app.js","4109","2026-07-20 21:10:30","False","3"
"rdr2pf_crime","config.lua","lua","[local]\rdr2pf_crime\config.lua","H:\games\pc\RedMServer\server-data\resources\[local]\rdr2pf_crime\config.lua","1394","2026-07-26 08:14:28","False","3"
"rdr2pf_crime","server.lua","lua","[local]\rdr2pf_crime\server.lua","H:\games\pc\RedMServer\server-data\resources\[local]\rdr2pf_crime\server.lua","4896","2026-07-26 09:14:18","False","8"
"rdr2pf_pausemenu","app.js","js","[local]\rdr2pf_pausemenu\html\app.js","H:\games\pc\RedMServer\server-data\resources\[local]\rdr2pf_pausemenu\html\app.js","18062","2026-07-26 09:14:18","False","5"
"redm-ipls","interiors.lua","lua","[standalone]\redm-ipls\interiors.lua","H:\games\pc\RedMServer\server-data\resources\[standalone]\redm-ipls\interiors.lua","104441","2026-07-06 21:47:38","False","14"
"runcode","runcode_shared.lua","lua","[system]\runcode\runcode_shared.lua","H:\games\pc\RedMServer\server-data\resources\[system]\runcode\runcode_shared.lua","510","2026-07-06 21:46:38","False","4"
