"id","name","category","type","job","location","animation","ingredients","rewards"
"seasoned_small_game","Seasoned Small Game","food","item","0","0","knifecooking","consumable_game x1; salt x1","cookedsmallgame x2"
"apple_pie","Apple Pie","food","item","0","0",,"apple x1; water x1; sugar x1; flour x1; eggs x1","consumable_applepie x1"
"steak","Steak","food","item","0","0","spindlecook","meat x1","steak x1"
"beef_jerky","Beef Jerky","food","item","0","0","knifecooking","meat x1; salt x1","beefjerky x1"
"breakfast","Breakfast","food","item","0","0",,"pork x1; eggs x2","consumable_breakfast x1"
"blueberry_pie","Blueberry Pie","food","item","0","0",,"blueberry x6; water x1; sugar x1; eggs x1; flour x1","consumable_blueberrypie x1"
"seasoned_porkchop","Seasoned Porkchop","food","item","0","0","spindlecook","pork x1; salt x1","cookedpork x1"
"seasoned_big_game","Seasoned Big Game","food","item","0","0","spindlecook","biggame x1; salt x1","SaltedCookedBigGameMeat x1"
"plain_big_game_meat","Plain Big Game Meat","food","item","0","0","spindlecook","biggame x1","CookedBigGameMeat x1"
"porkchop","PorkChop","food","item","0","0","knifecooking","pork x1","cookedpork x1"
"pickaxe","PickAxe","items","item","0","0",,"iron x10; wood x2","pickaxe x1"
"axe","Axe","items","item","0","0",,"iron x10; wood x2","lumberaxe x1"
"campfire","Campfire","items","item","0","0",,"rock x10; wood x5; coal x4","campfire x1"
"plain_cooked_bird","Plain Cooked Bird","food","item","0","0",,"bird x1","cookedbird x1"
"refined_gold_ore","Refined Gold Ore","items","item","0","0",,"gold_nugget x14",""
"plain_small_game","Plain Small Game","food","item","0","0",,"consumable_game x1","plainsmallgame x1"
"rope","Rope","items","item","0","0",,"fibers x10","rope x1"
"cloth","Cloth","items","item","0","0",,"wool x10","cloth x1"
"tent","Tent","items","item","0","0",,"cloth x4; rope x3; wood x2","tent x1"
"bedroll","Bedroll","items","item","0","0",,"pelt x4; cloth x1; wood x2","bedroll x1"
"cigar","Cigar","items","item","0","0",,"Indian_Tobbaco x1; fibers x1","cigar x1"
"cigarette","Cigarette","items","item","0","0",,"Indian_Tobbaco x1; fibers x1","cigarette x1"
"steak_n_eggs","Steak n' Eggs","food","item","0","0",,"meat x2; eggs x2; potato x2","steakeggs x1"
"veggie_stew","Veggie Stew","food","item","0","0",,"carrots x2; corn x2; potato x2; water x1; salt x2","vegstew x1"
"porkchops_and_applesauce","Porkchops and Applesauce","food","item","0","0",,"pork x1; apple x2","porknapples x1"
"bird_stew","Bird Stew","food","item","0","0",,"bird x2; carrots x2; corn x1; water x2; salt x2","birdstew x1"
"bird_stew_2","Bird Stew","food","item","0","0",,"bird x2; carrots x2; corn x1; water x2; salt x2","birdstew x1"
"bow","Bow","weapons","weapon","0","0","craft","hwood x2; fibers x4","WEAPON_BOW_IMPROVED x1"
"revolver_navy","Revolver Navy","weapons","weapon","0","0","craft","revolverbarrel x1; revolvercylinder x1; revolverhandle x1","WEAPON_REVOLVER_NAVY x1"
"knife","Knife","meleeweapons","weapon","0","0","craft","iron x1; wood x1","WEAPON_MELEE_KNIFE x1"
"premium_beef_jerky","Premium Beef Jerky","food","item","0","0","knifecooking","beefjerky x2; salt x1; water x1","premium_beefjerky x1"
