"type","id","title","description","recipe_type","item_type","category","ingredients","rewards","recipes_used_in","recipes_created_by","keywords","wiki_path"
"item","provision_coin_1700_ny_tkn","1700 New Yorke Token","A rare 1700 New Yorke Token",,"","","","","","","1700; coin; new; ny; provision; rare; tkn; token; yorke","items/provision_coin_1700_ny_tkn.md"
"item","provision_coin_1787_cent_tkn","1787 One cent Token","A rare 1787 One cent Token",,"","","","","","","1787; cent; coin; one; provision; rare; tkn; token","items/provision_coin_1787_cent_tkn.md"
"item","provision_coin_1789_pny","1789 Penny","A rare 1789 Penny",,"","","","","","","1789; coin; penny; pny; provision; rare","items/provision_coin_1789_pny.md"
"item","provision_coin_1792_lib_qtr","1792 Liberty Quarter","A rare 1792 Liberty Quarter",,"","","","","","","1792; coin; lib; liberty; provision; qtr; quarter; rare","items/provision_coin_1792_lib_qtr.md"
"item","provision_coin_1792_nickel","1792 Nickel","A rare 1792 Nickel",,"","","","","","","1792; coin; nickel; provision; rare","items/provision_coin_1792_nickel.md"
"item","provision_coin_1792_qtr","1792 Quarter","A rare 1792 Quarter",,"","","","","","","1792; coin; provision; qtr; quarter; rare","items/provision_coin_1792_qtr.md"
"item","provision_coin_1794_slv_dlr","1794 Silver Dollar","A rare 1794 Silver Dollar",,"","","","","","","1794; coin; dlr; dollar; provision; rare; silver; slv","items/provision_coin_1794_slv_dlr.md"
"item","provision_coin_1795_hlf_eag","1795 Half Eagle","A rare 1795 Half Eagle",,"","","","","","","1795; coin; eag; eagle; half; hlf; provision; rare","items/provision_coin_1795_hlf_eag.md"
"item","provision_coin_1796_hlf_pny","1796 Half Penny","A rare 1796 Half Penny",,"","","","","","","1796; coin; half; hlf; penny; pny; provision; rare","items/provision_coin_1796_hlf_pny.md"
"item","provision_coin_1797_gld_eag","1797 Gold Eagle","A rare 1797 Gold Eagle",,"","","","","","","1797; coin; eag; eagle; gld; gold; provision; rare","items/provision_coin_1797_gld_eag.md"
"item","provision_coin_1798_slv_dlr","1798 Silver Dollar","A rare 1798 Silver Dollar",,"","","","","","","1798; coin; dlr; dollar; provision; rare; silver; slv","items/provision_coin_1798_slv_dlr.md"
"item","provision_coin_1800_five_dlr","1800 Five Dollar","A rare 1800 Five Dollar",,"","","","","","","1800; coin; dlr; dollar; five; provision; rare","items/provision_coin_1800_five_dlr.md"
"item","provision_coin_1800_gld_dlr","1800 Gold Dollar","A rare 1800 Gold Dollar",,"","","","","","","1800; coin; dlr; dollar; gld; gold; provision; rare","items/provision_coin_1800_gld_dlr.md"
"item","provision_coin_1800_gld_qtr","1800 Gold Quarter","A rare 1800 Gold Quarter",,"","","","","","","1800; coin; gld; gold; provision; qtr; quarter; rare","items/provision_coin_1800_gld_qtr.md"
"item","provision_coin_1800_hlf_dime","1800 Half Dime","A rare 1800 Half Dime",,"","","","","","","1800; coin; dime; half; hlf; provision; rare","items/provision_coin_1800_hlf_dime.md"
"item","provision_jewelry_dmnd_bngle_bracelet","Abell├│ Ruby Bangle Bracelet","A hinged gold bangle with a series of claw set rubies.",,"","","","","","","abell; bangle; bngle; bracelet; claw; dmnd; gold; hinged; jewelry; of; provision; rubies; ruby; series; set; with","items/provision_jewelry_dmnd_bngle_bracelet.md"
"item","absinthe","Absinthe","An anise-flavoured spirit derived from several plants, including the flowers and leaves of Artemisia absinthium",,"","","","","","","absinthe; absinthium; an; and; anise; artemisia; derived; flavoured; flowers; from; including; leaves; of; plants; several; spirit; the","items/absinthe.md"
"item","acid","Acid","A corrosive substance used for various purposes.",,"","","","","","","acid; corrosive; for; purposes; substance; used; various","items/acid.md"
"item","provision_ro_flower_acunas_star","Acunas Star Orchid","The Acunas Star Orchid an be identified by the branching of the stems, alternate leaves, and cream colored petals. The trailing plant is often found on the ground or growing around trees in swampland areas.",,"","","","","","","acunas; alternate; an; and; areas; around; be; branching; by; colored; cream; flower; found; ground; growing; identified; in; is; leaves; of; often; on; or; orchid; petals; plant; provision; ro; star; stems; swampland; the; trailing; trees","items/provision_ro_flower_acunas_star.md"
"item","Agarita","Agarita","A flowering plant found in the wild, known for its medicinal properties.",,"","","","","","","agarita; flowering; for; found; in; its; known; medicinal; plant; properties; the; wild","items/agarita.md"
"item","Agarita_Seed","Agarita Seed","A seed that can be planted to grow Agarita plants.",,"","","","","","","agarita; be; can; grow; planted; plants; seed; that; to","items/agarita_seed.md"
"item","provision_arrowhead_agate","Agate Arrowhead","A rare arrowhead fashioned from sharp, colorful agate.",,"","","","","","","agate; arrowhead; colorful; fashioned; from; provision; rare; sharp","items/provision_arrowhead_agate.md"
"item","collector_fossil_coral","Agatized Coral Fossil","A common piece of agatized coral, weather-beaten but still striking.",,"","","","","","","agatized; beaten; but; collector; common; coral; fossil; of; piece; still; striking; weather","items/collector_fossil_coral.md"
"item","provision_jewelry_gld_cross_necklace","Ainsworth Cross Necklace","A solid gold chain necklace with an etched gold cross.",,"","","","","","","ainsworth; an; chain; cross; etched; gld; gold; jewelry; necklace; provision; solid; with","items/provision_jewelry_gld_cross_necklace.md"
"item","mashalaskan","Alaskan Gin Mash","A mixture of ingredients used in the production of Alaskan gin",,"","","","","","","alaskan; gin; in; ingredients; mash; mashalaskan; mixture; of; production; the; used","items/mashalaskan.md"
"item","mashamerican","Alaskan Gin Mash","A blend of ingredients used in the production of Alaskan gin",,"","","","","","","alaskan; blend; gin; in; ingredients; mash; mashamerican; of; production; the; used","items/mashamerican.md"
"item","Alaskan_Ginseng","Alaskan Ginseng","A type of ginseng native to the Alaskan region, prized for its healing properties.",,"","","","","","","alaskan; for; ginseng; healing; its; native; of; prized; properties; region; the; to; type","items/alaskan_ginseng.md"
"item","Alaskan_Ginseng_Seed","Alaskan Ginseng Seed","A seed that can be planted to grow Alaskan Ginseng.",,"","","","","","","alaskan; be; can; ginseng; grow; planted; seed; that; to","items/alaskan_ginseng_seed.md"
"item","alcohol","Alcohol","An intoxicating beverage consumed for recreational purposes.",,"","","","","","","alcohol; an; beverage; consumed; for; intoxicating; purposes; recreational","items/alcohol.md"
"item","Gator_Egg_3","Aligator Egg 3","The third stage of an alligator egg.",,"","","","","","","aligator; alligator; an; egg; gator; of; stage; the; third","items/gator_egg_3.md"
"item","Gator_Egg_4","Aligator Egg 4","The fourth stage of an alligator egg.",,"","","","","","","aligator; alligator; an; egg; fourth; gator; of; stage; the","items/gator_egg_4.md"
"item","Gator_Egg_5","Aligator Egg 5","The final stage of an alligator egg.",,"","","","","","","aligator; alligator; an; egg; final; gator; of; stage; the","items/gator_egg_5.md"
"item","aligatormeat","Alligator Meat","Raw meat obtained from hunting alligators, suitable for cooking.",,"","","","","","","aligatormeat; alligator; alligators; cooking; for; from; hunting; meat; obtained; raw; suitable","items/aligatormeat.md"
"item","aligators","Alligator Pelt","The skin of an alligator, commonly used for crafting and trading.",,"","","","","","","aligators; alligator; an; and; commonly; crafting; for; of; pelt; skin; the; trading; used","items/aligators.md"
"item","aligatorto","Alligator Tooth","A tooth extracted from an alligator, sometimes used for decorative purposes.",,"","","","","","","aligatorto; alligator; an; decorative; extracted; for; from; purposes; sometimes; tooth; used","items/aligatorto.md"
"item","American_Ginseng","American Ginseng","A species of ginseng native to North America, valued for its medicinal properties.",,"","","","","","","america; american; for; ginseng; its; medicinal; native; north; of; properties; species; to; valued","items/american_ginseng.md"
"item","American_Ginseng_Seed","American Ginseng Seed","A seed that can be planted to grow American Ginseng.",,"","","","","","","american; be; can; ginseng; grow; planted; seed; that; to","items/american_ginseng_seed.md"
"item","provision_disco_ammolite","Ammolite","Fossilized shell of an ammonite.",,"","","","","","","ammolite; ammonite; an; disco; fossilized; of; provision; shell","items/provision_disco_ammolite.md"
"item","provision_disco_ancient_eagle","Ancient Eagle","An ancient eagle statue.",,"","","","","","","an; ancient; disco; eagle; provision; statue","items/provision_disco_ancient_eagle.md"
"item","provision_disco_ancient_necklace","Ancient Necklace","An ancient necklace.",,"","","","","","","an; ancient; disco; necklace; provision","items/provision_disco_ancient_necklace.md"
"item","oxhorn","Angus Bull horn","A sturdy horn from an Angus Bull.",,"","","","","","","an; angus; bull; from; horn; oxhorn; sturdy","items/oxhorn.md"
"item","oxs","Angus Bull pelt","The thick fur and skin of an Angus Bull.",,"","","","","","","an; and; angus; bull; fur; of; oxs; pelt; skin; the; thick","items/oxs.md"
"item","Fat","Animal Fat","Rendered fat obtained from animals, commonly used in cooking and crafting.",,"","","","","","","and; animal; animals; commonly; cooking; crafting; fat; from; in; obtained; rendered; used","items/fat.md"
"item","antipoison2","Anti Snake Poison","A poison used to fend off snakes",,"","","","","","","anti; antipoison2; fend; off; poison; snake; snakes; to; used","items/antipoison2.md"
"item","antipoison","Antipoison","A medicine used to counteract the effects of poison",,"","","","","","","antipoison; counteract; effects; medicine; of; poison; the; to; used","items/antipoison.md"
"item","apple","Apple","A juicy and delicious fruit",,"","","","","apple_pie; porkchops_and_applesauce","","and; apple; applepie; applesauce; consumable; delicious; fruit; juicy; pie; porkchops; porknapples","items/apple.md"
"item","apple_barrel","Apple Barrel","A barrel filled with fresh apples",,"","","","","","","apple; apples; barrel; filled; fresh; with","items/apple_barrel.md"
"item","applebarrel","Apple Barrel","A barrel filled with fresh apples",,"","","","","","","apple; applebarrel; apples; barrel; filled; fresh; with","items/applebarrel.md"
"item","apple_basket","Apple Basket","A basket filled with fresh apples",,"","","","","","","apple; apples; basket; filled; fresh; with","items/apple_basket.md"
"item","applebasket","Apple Basket","A basket filled with fresh apples",,"","","","","","","apple; applebasket; apples; basket; filled; fresh; with","items/applebasket.md"
"item","mashapple","Apple Mash","A mashed mixture of apples used for various recipes",,"","","","","","","apple; apples; for; mash; mashapple; mashed; mixture; of; recipes; used; various","items/mashapple.md"
"item","consumable_applepie","Apple Pie","A freshly baked apple pie.",,"","","","","","apple_pie","apple; applepie; baked; consumable; freshly; pie","items/consumable_applepie.md"
"item","Apple_Seed","Apple Seed","A seed used for growing apple trees",,"","","","","","","apple; for; growing; seed; trees; used","items/apple_seed.md"
"item","armadilloc","Armadillo Claws","Sharp claws harvested from an Armadillo",,"","","","","","","an; armadillo; armadilloc; claws; from; harvested; sharp","items/armadilloc.md"
"item","armadillos","Armadillo Pelt","A pelt taken from an Armadillo",,"","","","","","","an; armadillo; armadillos; from; pelt; taken","items/armadillos.md"
"item","ammoarrowdynamite","Arrow Dynamite","An explosive arrow designed to cause significant damage upon impact.",,"","","","","","","ammoarrowdynamite; an; arrow; cause; damage; designed; dynamite; explosive; impact; significant; to; upon","items/ammoarrowdynamite.md"
"item","ammoarrowfire","Arrow Fire","An arrow equipped with a flaming tip, capable of setting targets on fire.",,"","","","","","","ammoarrowfire; an; arrow; capable; equipped; fire; flaming; of; on; setting; targets; tip; with","items/ammoarrowfire.md"
"item","ammoarrowimproved","Arrow Improved","An upgraded arrow with improved accuracy and damage.",,"","","","","","","accuracy; ammoarrowimproved; an; and; arrow; damage; improved; upgraded; with","items/ammoarrowimproved.md"
"item","ammoarrownormal","Arrow Normal","A standard arrow used with bows for hunting and combat.",,"","","","","","","ammoarrownormal; and; arrow; bows; combat; for; hunting; normal; standard; used; with","items/ammoarrownormal.md"
"item","ammoarrowpoison","Arrow Poison","An arrow coated with a poisonous substance, capable of inflicting additional damage over time.",,"","","","","","","additional; ammoarrowpoison; an; arrow; capable; coated; damage; inflicting; of; over; poison; poisonous; substance; time; with","items/ammoarrowpoison.md"
"item","ammoarrowsmallgame","Arrow Small Game","A specialized arrow designed for hunting small game without damaging their pelts.",,"","","","","","","ammoarrowsmallgame; arrow; damaging; designed; for; game; hunting; pelts; small; specialized; their; without","items/ammoarrowsmallgame.md"
"item","provision_jewelry_onyx_ring","Aubrey Onyx Ring","A rare white gold ring with a bezel set diamond surrounded by polished onyx.",,"","","","","","","aubrey; bezel; by; diamond; gold; jewelry; onyx; polished; provision; rare; ring; set; surrounded; white; with","items/provision_jewelry_onyx_ring.md"
"item","bacon","Bacon","Bacon what else do you need to know?",,"","","","","","","bacon; do; else; know; need; to; what; you","items/bacon.md"
"item","badgers","Badger skin","Skin obtained from a badger.",,"","","","","","","badger; badgers; from; obtained; skin","items/badgers.md"
"item","bait","Bait","Used as bait to attract fish while fishing.",,"","","","","","","as; attract; bait; fish; fishing; to; used; while","items/bait.md"
"item","provision_jewelry_topaz_ring","Banais Topaz Ring","A neat silver wedding ring with brilliant cut topaz.",,"","","","","","","banais; brilliant; cut; jewelry; neat; provision; ring; silver; topaz; wedding; with","items/provision_jewelry_topaz_ring.md"
"item","banana","Banana","A delicious and nutritious tropical fruit.",,"","","","","","","and; banana; delicious; fruit; nutritious; tropical","items/banana.md"
"item","bandage","Bandage","A medical item used to dress wounds.",,"","","","","","","bandage; dress; item; medical; to; used; wounds","items/bandage.md"
"item","bandage_2","Bandage","A medical item used to dress wounds.",,"","","","","","","bandage; dress; item; medical; to; used; wounds","items/bandage_2.md"
"item","kit_bandana","Bandana","A versatile and stylish piece of cloth that can be worn around the neck or head for various purposes. It adds a touch of fashion to any outfit.",,"","","","","","","adds; and; any; around; bandana; be; can; cloth; fashion; for; head; it; kit; neck; of; or; outfit; piece; purposes; stylish; that; the; to; touch; various; versatile; worn","items/kit_bandana.md"
"item","barrel","Barrel","A container made of wood or metal used for storing or transporting goods.",,"","","","","","","barrel; container; for; goods; made; metal; of; or; storing; transporting; used; wood","items/barrel.md"
"item","p_barrelmoonshine","Barrel","A container, typically made of wood, used for storing and aging moonshine.",,"","","","","","","aging; and; barrel; barrelmoonshine; container; for; made; moonshine; of; storing; typically; used; wood","items/p_barrelmoonshine.md"
"item","bat_c","Bat","A flying mammal known for its nocturnal habits.",,"","","","","","","bat; flying; for; habits; its; known; mammal; nocturnal","items/bat_c.md"
"item","Bay_Bolete","Bay Bolete","An edible mushroom with a brown cap and yellow pores.",,"","","","","","","an; and; bay; bolete; brown; cap; edible; mushroom; pores; with; yellow","items/bay_bolete.md"
"item","Bay_Bolete_Seed","Bay Bolete Seed","A seed that can be planted to grow Bay Bolete mushrooms.",,"","","","","","","bay; be; bolete; can; grow; mushrooms; planted; seed; that; to","items/bay_bolete_seed.md"
"item","bear_bench","Bear Bench","A bench made from the hide and bones of a bear.",,"","","","","","","and; bear; bench; bones; from; hide; made; of; the","items/bear_bench.md"
"item","bearbench","Bear Bench","A bench made from the hide and bones of a bear.",,"","","","","","","and; bear; bearbench; bench; bones; from; hide; made; of; the","items/bearbench.md"
"item","bearc","Bear claws","Sharp claws obtained from a bear.",,"","","","","","","bear; bearc; claws; from; obtained; sharp","items/bearc.md"
"item","beart","Bear tooth","A tooth obtained from a bear.",,"","","","","","","bear; beart; from; obtained; tooth","items/beart.md"
"item","beartrap","Beartrap","A sturdy beartrap used for catching animals or stopping trespassers",,"","","","","","","animals; beartrap; catching; for; or; stopping; sturdy; trespassers; used","items/beartrap.md"
"item","provision_jewelry_rudy_dngl_earring","Beauch├¬ne Ruby Earrings","Elaborate gold hook earrings with vivid rubies.",,"","","","","","","beauch; dngl; earring; earrings; elaborate; gold; hook; jewelry; ne; provision; rubies; ruby; rudy; vivid; with","items/provision_jewelry_rudy_dngl_earring.md"
"item","provision_jewelry_french_dmnd_ring","Beaulieux Diamond Ring","A number of old mine cut diamonds claw set in a silver ring from France.",,"","","","","","","beaulieux; claw; cut; diamond; diamonds; dmnd; france; french; from; in; jewelry; mine; number; of; old; provision; ring; set; silver","items/provision_jewelry_french_dmnd_ring.md"
"item","beawers","Beaver pelt","A pelt obtained from a beaver.",,"","","","","","","beaver; beawers; from; obtained; pelt","items/beawers.md"
"item","beavertail","Beaver tail","A flat and scaly tail obtained from a beaver.",,"","","","","","","and; beaver; beavertail; flat; from; obtained; scaly; tail","items/beavertail.md"
"item","beef","Beef","Fresh and tender beef meat.",,"","","","","","","and; beef; fresh; meat; tender","items/beef.md"
"item","beefjerky","Beef Jerky","Dried and seasoned beef meat.",,"","","","","premium_beef_jerky","beef_jerky","and; beef; beefjerky; dried; jerky; meat; premium; seasoned","items/beefjerky.md"
"item","beer","Beer","An alcoholic beverage brewed from grains.",,"","","","","","","alcoholic; an; beer; beverage; brewed; from; grains","items/beer.md"
"item","beerbox","Beer Box","A container holding multiple bottles of beer.",,"","","","","","","beer; beerbox; bottles; box; container; holding; multiple; of","items/beerbox.md"
"item","consumable_raspberrywater","Berry Water","Refreshing water infused with berries.",,"","","","","","","berries; berry; consumable; infused; raspberrywater; refreshing; water; with","items/consumable_raspberrywater.md"
"item","bigchest","Big Chest","A large chest for storing items.",,"","","","","","","big; bigchest; chest; for; items; large; storing","items/bigchest.md"
"item","biggame","Big Game Meat","Meat obtained from a large game animal.",,"","","","","plain_big_game_meat; seasoned_big_game","","animal; big; biggame; cooked; cookedbiggamemeat; from; game; large; meat; obtained; plain; saltedcookedbiggamemeat; seasoned","items/biggame.md"
"item","Big_Leather","Big Leather","Large piece of leather.",,"","","","","","","big; large; leather; of; piece","items/big_leather.md"
"item","fishmeat","Bigfish Meat","Meat obtained from large fish species, known for its tender texture and rich flavor.",,"","","","","","","and; bigfish; fish; fishmeat; flavor; for; from; its; known; large; meat; obtained; rich; species; tender; texture","items/fishmeat.md"
"item","bird","Bird Meat","Meat obtained from a bird.",,"","","","","bird_stew; bird_stew_2; plain_cooked_bird","","bird; birdstew; cooked; cookedbird; from; meat; obtained; plain; stew","items/bird.md"
"item","biscuitbox","Biscuitbox","A box of assorted biscuits.",,"","","","","","","assorted; biscuitbox; biscuits; box; of","items/biscuitbox.md"
"item","bisonhorn","Bison horn","A horn obtained from a bison.",,"","","","","","","bison; bisonhorn; from; horn; obtained","items/bisonhorn.md"
"item","bisons","Bison pelt","A pelt obtained from a bison.",,"","","","","","","bison; bisons; from; obtained; pelt","items/bisons.md"
"item","Bitter_Weed","Bitter Weed","A type of bitter herb.",,"","","","","","","bitter; herb; of; type; weed","items/bitter_weed.md"
"item","Bitter_Weed_Seed","Bitter Weed Seed","A seed that can be planted to grow bitter weed.",,"","","","","","","be; bitter; can; grow; planted; seed; that; to; weed","items/bitter_weed_seed.md"
"item","collector_fossil_bivalve","Bivalve Fossil","A common fossilized mollusc, badly worn.",,"","","","","","","badly; bivalve; collector; common; fossil; fossilized; mollusc; worn","items/collector_fossil_bivalve.md"
"item","bbears","Black Bear skin","Skin obtained from a black bear.",,"","","","","","","bbears; bear; black; from; obtained; skin","items/bbears.md"
"item","Black_Berry","Black Berry","A small and sweet black-colored berry.",,"","","","","","","and; berry; black; colored; small; sweet","items/black_berry.md"
"item","blackberryale","Black Berry Ale","An ale made from blackberries.",,"","","","","","","ale; an; berry; black; blackberries; blackberryale; from; made","items/blackberryale.md"
"item","wildCiderMash","Black Berry Mash","Mashed blackberries used for making cider.",,"","","","","","","berry; black; blackberries; cider; for; making; mash; mashed; used; wildcidermash","items/wildcidermash.md"
"item","wildCiderMoonshine","Black Berry Moonshine","Homemade moonshine crafted from blackberries.",,"","","","","","","berry; black; blackberries; crafted; from; homemade; moonshine; wildcidermoonshine","items/wildcidermoonshine.md"
"item","Black_Berry_Seed","Black Berry Seed","A seed that can be planted to grow blackberries.",,"","","","","","","be; berry; black; blackberries; can; grow; planted; seed; that; to","items/black_berry_seed.md"
"item","Black_Currant","Black Currant","A small dark purple berry with a tart flavor.",,"","","","","","","berry; black; currant; dark; flavor; purple; small; tart; with","items/black_currant.md"
"item","Black_Currant_Seed","Black Currant Seed","A seed that can be planted to grow black currants.",,"","","","","","","be; black; can; currant; currants; grow; planted; seed; that; to","items/black_currant_seed.md"
"item","squirrel_black_c","Black Squirrel","A black squirrel",,"","","","","","","black; squirrel","items/squirrel_black_c.md"
"item","mashblackberry","Blackberry Mash","A mashed mixture of blackberries used in cooking and beverages",,"","","","","","","and; beverages; blackberries; blackberry; cooking; in; mash; mashblackberry; mashed; mixture; of; used","items/mashblackberry.md"
"item","mashblackberry90p","Blackberry Mash 90p","A concentrated blackberry mash used for crafting high-quality beverages",,"","","","","","","90p; beverages; blackberry; concentrated; crafting; for; high; mash; mashblackberry90p; quality; used","items/mashblackberry90p.md"
"item","fsnakes","Blacktail rattlesnake pelt","The skin of a blacktail rattlesnake.",,"","","","","","","blacktail; fsnakes; of; pelt; rattlesnake; skin; the","items/fsnakes.md"
"item","blanket_box","Blanket Box","A box used for storing blankets.",,"","","","","","","blanket; blankets; box; for; storing; used","items/blanket_box.md"
